행번호,파일,오프셋,안 들어간 이유,원문,디스크 (지금 게임),CSV,수정안
2447,C1/SC051.DAT,0x46F74,선택지(E5),"戦闘になるがいいのかな？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2448,C1/SC051.DAT,0x46FD8,선택지(E5),"いいか？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2449,C1/SC051.DAT,0x47034,선택지(E5),"どうしようかね
<CTRL:E5:03>やる
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,할까?|한다|그만,할까?|한다|그만
2450,C1/SC061.DAT,0x46DE6,선택지(E5),"戦闘になるぞ。いいか？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2451,C1/SC061.DAT,0x46E48,선택지(E5),"戦闘になるよ。いいの？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2452,C1/SC061.DAT,0x46EAA,선택지(E5),"やるぜ。もちろんいいよな
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2453,C1/SC061.DAT,0x46F0E,선택지(E5),"戦闘になるけど、いいのかな？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2454,C1/SC061.DAT,0x46F74,선택지(E5),"戦闘になるがいいのかな？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2455,C1/SC061.DAT,0x46FD8,선택지(E5),"いいか？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2456,C1/SC061.DAT,0x47034,선택지(E5),"どうしようかね
<CTRL:E5:03>やる
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,할까?|한다|그만,할까?|한다|그만
2457,C1/SC081.DAT,0x46DE6,선택지(E5),"戦闘になるぞ。いいか？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2458,C1/SC081.DAT,0x46E48,선택지(E5),"戦闘になるよ。いいの？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2459,C1/SC081.DAT,0x46EAA,선택지(E5),"んつ、どりゃーーー。
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,시작할까?|예|그만,시작할까?|예|그만
2460,C1/SC081.DAT,0x46F0C,선택지(E5),"ひいのやだな。でもやる？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,아파도 할까?|예|그만,아파도 할까?|예|그만
2461,C1/SC081.DAT,0x46F70,선택지(E5),"戦闘になるがいいのかな？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2462,C1/SC081.DAT,0x46FD4,선택지(E5),"いいか？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2463,C1/SC081.DAT,0x47030,선택지(E5),"いくかね
<CTRL:E5:03>いく
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,갈까|간다|그만,갈까|간다|그만
2464,C1/SC091.DAT,0x46DE6,선택지(E5),"いつでもいいぞ
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,준비됐나?|예|그만,준비됐나?|예|그만
2465,C1/SC091.DAT,0x46E44,선택지(E5),"まかせなさい
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,맡겨 두게|예|그만,맡겨 두게|예|그만
2466,C1/SC091.DAT,0x46EA2,선택지(E5),"ぬふりゃーーー。
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,시작할까?|예|그만,시작할까?|예|그만
2467,C1/SC091.DAT,0x46F04,선택지(E5),"やつっりいく？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2468,C1/SC091.DAT,0x46F62,선택지(E5),"いいのかな？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2469,C1/SC091.DAT,0x46FC0,선택지(E5),"いいか？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2470,C1/SC091.DAT,0x4701C,선택지(E5),"わしゃイヤだが、やるかね
<CTRL:E5:03>やる
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,할까?|한다|그만,할까?|한다|그만
2471,C2/SC0A1.DAT,0x46DE6,선택지(E5),"戦闘になるぞ。いいか？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2472,C2/SC0A1.DAT,0x46E48,선택지(E5),"戦いたい？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2473,C2/SC0A1.DAT,0x46EA4,선택지(E5),"やろうぜ
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2474,C2/SC0A1.DAT,0x46F00,선택지(E5),"戦闘になるけど、いいのかな？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2475,C2/SC0A1.DAT,0x46F66,선택지(E5),"戦闘になるがいいのかな？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2476,C2/SC0A1.DAT,0x46FCA,선택지(E5),"いいか？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2477,C2/SC0A1.DAT,0x47026,선택지(E5),"どうしようかね
<CTRL:E5:03>やる
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,할까?|한다|그만,할까?|한다|그만
2479,C2/SC0B6.DAT,0x45C78,슬롯 부족 / 창 넘침,今までの勝利回数は<CTRL:E8:13>回です。<CTRL:E4:3D>,(일본어 그대로),지금까지의 승리 횟수는  회입니다.,지금까지의 승리 횟수는  회입니다.
2480,C2/SC0B6.DAT,0x45CD4,슬롯 부족 / 창 넘침,"勝利回数10回の方には、
ちょつとうれしい賞品がございます。
がんばつて下さい。",(일본어 그대로),승리 횟수 10회를 달성하신 분께는 조금 기쁜 상품이 있습니다. 힘내 주십시오.,승리 횟수 10회를 달성하신 분께는 조금 기쁜 상품이 있습니다. 힘내 주십시오.
2482,C2/SC0B6.DAT,0x45D8C,슬롯 부족 / 창 넘침,今までの勝利回数は<CTRL:E8:13>回です。<CTRL:E4:3D>,(일본어 그대로),지금까지의 승리 횟수는  회입니다.,지금까지의 승리 횟수는  회입니다.
2483,C2/SC0B6.DAT,0x45DE8,슬롯 부족 / 창 넘침,"20回までのこり<CTRL:E8:21>回です。
がんばつて下さい。",(일본어 그대로),20회까지 앞으로  회입니다. 힘내 주십시오.,20회까지 앞으로  회입니다. 힘내 주십시오.
2485,C2/SC0B6.DAT,0x45E8A,슬롯 부족 / 창 넘침,今までの勝利回数は<CTRL:E8:13>回です。<CTRL:E4:3D>,(일본어 그대로),지금까지의 승리 횟수는  회입니다.,지금까지의 승리 횟수는  회입니다.
2486,C2/SC0B6.DAT,0x45EE6,슬롯 부족 / 창 넘침,"40回までのこり<CTRL:E8:21>回です。
がんばつて下さい。",(일본어 그대로),40회까지 앞으로  회입니다. 힘내 주십시오.,40회까지 앞으로  회입니다. 힘내 주십시오.
2488,C2/SC0B6.DAT,0x45F88,슬롯 부족 / 창 넘침,今までの勝利回数は<CTRL:E8:13>回です。<CTRL:E4:3D>,(일본어 그대로),지금까지의 승리 횟수는  회입니다.,지금까지의 승리 횟수는  회입니다.
2489,C2/SC0B6.DAT,0x45FE4,슬롯 부족 / 창 넘침,"80回までのこり<CTRL:E8:21>回です。
がんばつて下さい。",(일본어 그대로),80회까지 앞으로  회입니다. 힘내 주십시오.,80회까지 앞으로  회입니다. 힘내 주십시오.
2491,C2/SC0B6.DAT,0x46086,슬롯 부족 / 창 넘침,今までの勝利回数は<CTRL:E8:13>回です。<CTRL:E4:3D>,(일본어 그대로),지금까지의 승리 횟수는  회입니다.,지금까지의 승리 횟수는  회입니다.
2492,C2/SC0B6.DAT,0x460E2,슬롯 부족 / 창 넘침,"120回までのこり<CTRL:E8:21>回です。
がんばつて下さい。",(일본어 그대로),120회까지 앞으로  회입니다. 힘내 주십시오.,120회까지 앞으로  회입니다. 힘내 주십시오.
2494,C2/SC0B6.DAT,0x46184,슬롯 부족 / 창 넘침,今までの勝利回数は<CTRL:E8:13>回です。<CTRL:E4:3D>,(일본어 그대로),지금까지의 승리 횟수는  회입니다.,지금까지의 승리 횟수는  회입니다.
2495,C2/SC0B6.DAT,0x461E0,슬롯 부족 / 창 넘침,"160回までのこり<CTRL:E8:21>回です。
がんばつて下さい。",(일본어 그대로),160회까지 앞으로  회입니다. 힘내 주십시오.,160회까지 앞으로  회입니다. 힘내 주십시오.
2497,C2/SC0B6.DAT,0x46282,슬롯 부족 / 창 넘침,今までの勝利回数は<CTRL:E8:13>回です。<CTRL:E4:3D>,(일본어 그대로),지금까지의 승리 횟수는  회입니다.,지금까지의 승리 횟수는  회입니다.
2498,C2/SC0B6.DAT,0x462DE,슬롯 부족 / 창 넘침,"200回までのこり<CTRL:E8:21>回です。
がんばつて下さい。",(일본어 그대로),200회까지 앞으로  회입니다. 힘내 주십시오.,200회까지 앞으로  회입니다. 힘내 주십시오.
2500,C2/SC0B6.DAT,0x46380,슬롯 부족 / 창 넘침,今までの勝利回数は<CTRL:E8:13>回です。<CTRL:E4:3D>,(일본어 그대로),지금까지의 승리 횟수는  회입니다.,지금까지의 승리 횟수는  회입니다.
2501,C2/SC0B6.DAT,0x463DC,슬롯 부족 / 창 넘침,"1000回までのこり<CTRL:E8:21>回です。
あきらめないで、がんばつて下さい。",(일본어 그대로),1000회까지 앞으로  회입니다. 포기하지 말고 힘내 주십시오.,1000회까지 앞으로  회입니다. 포기하지 말고 힘내 주십시오.
2503,C2/SC0B6.DAT,0x4648E,슬롯 부족 / 창 넘침,"10回目の勝利をきねんして
プレゼントがございます。
次の商品からお選び下さい。",(일본어 그대로),10회째 승리를 기려 선물이 있습니다. 다음 상품 중에서 고르십시오.,10회째 승리를 기려 선물이 있습니다. 다음 상품 중에서 고르십시오.
2505,C2/SC0B6.DAT,0x46572,슬롯 부족 / 창 넘침,<G:90>みなぎる果実<G:89>を手にいれた。,,넘치는 과실을 손에 넣었다.,넘치는 과실을 손에 넣었다.
2506,C2/SC0B6.DAT,0x465B6,슬롯 부족 / 창 넘침,"20回目の勝利を目指して
がんばつて下さい。",(일본어 그대로),20번째 승리를 목표로 힘내 주십시오.,20번째 승리를 목표로 힘내 주십시오.
2507,C2/SC0B6.DAT,0x4660A,슬롯 부족 / 창 넘침,<G:90>大きい爆弾<G:89>を手にいれた。,(일본어 그대로),큰 폭탄을 손에 넣었다.,큰 폭탄을 손에 넣었다.
2508,C2/SC0B6.DAT,0x4664C,슬롯 부족 / 창 넘침,"20回目の勝利を目指して
がんばつて下さい。",(일본어 그대로),20번째 승리를 목표로 힘내 주십시오.,20번째 승리를 목표로 힘내 주십시오.
2509,C2/SC0B6.DAT,0x466A0,슬롯 부족 / 창 넘침,<G:90>弱りの玉<G:89>を手にいれた。,(일본어 그대로),약화의 구슬을 손에 넣었다.,약화의 구슬을 손에 넣었다.
2510,C2/SC0B6.DAT,0x466E2,슬롯 부족 / 창 넘침,"20回目の勝利を目指して
がんばつて下さい。",(일본어 그대로),20번째 승리를 목표로 힘내 주십시오.,20번째 승리를 목표로 힘내 주십시오.
2511,C2/SC0B6.DAT,0x46736,슬롯 부족 / 창 넘침,<G:90>復活の薬<G:89>を手にいれた。,(일본어 그대로),부활의 약을 손에 넣었다.,부활의 약을 손에 넣었다.
2512,C2/SC0B6.DAT,0x46778,슬롯 부족 / 창 넘침,"20回目の勝利を目指して
がんばつて下さい。",20<9E><AC><1C><D5><DE89><2F><AC><DE71><1E><21> <2A><2D><58><29><21><70><3A><1B><37>,20번째 승리를 목표로 힘내 주십시오.,20번째 승리를 목표로 힘내 주십시오.
2514,C2/SC0B6.DAT,0x4681A,슬롯 부족 / 창 넘침,"20回目の勝利をきねんして
プレゼントがございます。
次の商品からお選び下さい。",(일본어 그대로),20회째 승리를 기려 선물이 있습니다. 다음 상품 중에서 고르십시오.,20회째 승리를 기려 선물이 있습니다. 다음 상품 중에서 고르십시오.
2515,C2/SC0B6.DAT,0x46884,선택지(E5),"<CTRL:E5:03><G:90>ちからの実<G:89>
<CTRL:E5:03><G:90>パロの実<G:89>
<CTRL:E5:03><G:90>いのちの木の実<G:89>
<CTRL:E5:03><G:90>魔力の泉<G:89>",힘열매  |파로   |생명 열매  |마력,|힘의 열매|파로의 열매|생명의 나무 열매|마력의 샘,|힘의 열매|파로의 열매|생명의 나무 열매|마력의 샘
2516,C2/SC0B6.DAT,0x468FA,슬롯 부족 / 창 넘침,<G:90>ちからの実<G:89>を手にいれた。,(일본어 그대로),힘의 열매를 손에 넣었다.,힘의 열매를 손에 넣었다.
2517,C2/SC0B6.DAT,0x4693C,슬롯 부족 / 창 넘침,"40回目の勝利を目指して
がんばつて下さい。",(일본어 그대로),40번째 승리를 목표로 힘내 주십시오.,40번째 승리를 목표로 힘내 주십시오.
2518,C2/SC0B6.DAT,0x46990,슬롯 부족 / 창 넘침,<G:90>パロの実<G:89>を手にいれた。,(일본어 그대로),파로의 열매를 손에 넣었다.,파로의 열매를 손에 넣었다.
2519,C2/SC0B6.DAT,0x469D0,슬롯 부족 / 창 넘침,"40回目の勝利を目指して
がんばつて下さい。",(일본어 그대로),40번째 승리를 목표로 힘내 주십시오.,40번째 승리를 목표로 힘내 주십시오.
2520,C2/SC0B6.DAT,0x46A24,슬롯 부족 / 창 넘침,<G:90>いのちの木の実<G:89>を手にいれた。,(일본어 그대로),생명의 나무 열매를 손에 넣었다.,생명의 나무 열매를 손에 넣었다.
2521,C2/SC0B6.DAT,0x46A68,슬롯 부족 / 창 넘침,"40回目の勝利を目指して
がんばつて下さい。",(일본어 그대로),40번째 승리를 목표로 힘내 주십시오.,40번째 승리를 목표로 힘내 주십시오.
2522,C2/SC0B6.DAT,0x46ABC,슬롯 부족 / 창 넘침,<G:90>魔力の泉<G:89>を手にいれた。,(일본어 그대로),마력의 샘을 손에 넣었다.,마력의 샘을 손에 넣었다.
2523,C2/SC0B6.DAT,0x46AFE,슬롯 부족 / 창 넘침,"40回目の勝利を目指して
がんばつて下さい。",40<9E><AC><1C><D5><DE89><2F><AC><DE71><1E><21> <2A><2D><58><29><21><70><3A><1B><37>,40번째 승리를 목표로 힘내 주십시오.,40번째 승리를 목표로 힘내 주십시오.
2525,C2/SC0B6.DAT,0x46BA0,슬롯 부족 / 창 넘침,"40回目の勝利をきねんして
プレゼントがございます。
次の商品からお選び下さい。",(일본어 그대로),40회째 승리를 기려 선물이 있습니다. 다음 상품 중에서 고르십시오.,40회째 승리를 기려 선물이 있습니다. 다음 상품 중에서 고르십시오.
2526,C2/SC0B6.DAT,0x46C0A,선택지(E5),"<CTRL:E5:03><G:90>氷の守り<G:89>
<CTRL:E5:03><G:90>炎の守り<G:89>
<CTRL:E5:03><G:90>魔法のカート<G:89>
<CTRL:E5:03><G:90>しつぷうのバンダナ<G:89>",한기    |불꽃   |마법 카드 |바람,|얼음의 수호|불꽃의 수호|마법의 카트|질풍의 반다나,|얼음의 수호|불꽃의 수호|마법의 카트|질풍의 반다나
2527,C2/SC0B6.DAT,0x46C84,슬롯 부족 / 창 넘침,<G:90>氷の守り<G:89>を手にいれた。,(일본어 그대로),얼음의 수호를 손에 넣었다.,얼음의 수호를 손에 넣었다.
2528,C2/SC0B6.DAT,0x46CC6,슬롯 부족 / 창 넘침,"80回目の勝利を目指して
がんばつて下さい。",(일본어 그대로),80번째 승리를 목표로 힘내 주십시오.,80번째 승리를 목표로 힘내 주십시오.
2529,C2/SC0B6.DAT,0x46D1A,슬롯 부족 / 창 넘침,<G:90>炎の守り<G:89>を手にいれた。,(일본어 그대로),불꽃의 수호를 손에 넣었다.,불꽃의 수호를 손에 넣었다.
2530,C2/SC0B6.DAT,0x46D5A,슬롯 부족 / 창 넘침,"80回目の勝利を目指して
がんばつて下さい。",(일본어 그대로),80번째 승리를 목표로 힘내 주십시오.,80번째 승리를 목표로 힘내 주십시오.
2531,C2/SC0B6.DAT,0x46DAE,슬롯 부족 / 창 넘침,<G:90>魔法のカート<G:89>を手にいれた。,(일본어 그대로),마법의 카트를 손에 넣었다.,마법의 카트를 손에 넣었다.
2532,C2/SC0B6.DAT,0x46DF2,슬롯 부족 / 창 넘침,"80回目の勝利を目指して
がんばつて下さい。",80<9E><AC><1C><D5><DE89><2F><AC><DE71><1E><21> <2A><2D><58><29><21><70><3A><1B><37>,80번째 승리를 목표로 힘내 주십시오.,80번째 승리를 목표로 힘내 주십시오.
2533,C2/SC0B6.DAT,0x46E46,슬롯 부족 / 창 넘침,<G:90>しつぷうのバンダナ<G:89>を手にいれた。,,질풍의 반다나를 손에 넣었다.,질풍의 반다나를 손에 넣었다.
2534,C2/SC0B6.DAT,0x46E8C,슬롯 부족 / 창 넘침,"80回目の勝利を目指して
がんばつて下さい。",(일본어 그대로),80번째 승리를 목표로 힘내 주십시오.,80번째 승리를 목표로 힘내 주십시오.
2536,C2/SC0B6.DAT,0x46F2E,슬롯 부족 / 창 넘침,"80回目の勝利をきねんして
プレゼントがございます。
次の商品からお選び下さい。",(일본어 그대로),80회째 승리를 기려 선물이 있습니다. 다음 상품 중에서 고르십시오.,80회째 승리를 기려 선물이 있습니다. 다음 상품 중에서 고르십시오.
2538,C2/SC0B6.DAT,0x4700E,슬롯 부족 / 창 넘침,<G:90>スリープレスカート<G:89>を手にいれた。,(일본어 그대로),슬리플리스 카트를 손에 넣었다.,슬리플리스 카트를 손에 넣었다.
2539,C2/SC0B6.DAT,0x47054,슬롯 부족 / 창 넘침,"120回目の勝利を目指して
がんばつて下さい。",(일본어 그대로),120번째 승리를 목표로 힘내 주십시오.,120번째 승리를 목표로 힘내 주십시오.
2540,C2/SC0B6.DAT,0x470A8,슬롯 부족 / 창 넘침,<G:90>アンチへモジー<G:89>を手にいれた。,(일본어 그대로),안티헤모지를 손에 넣었다.,안티헤모지를 손에 넣었다.
2541,C2/SC0B6.DAT,0x470EC,슬롯 부족 / 창 넘침,"120回目の勝利を目指して
がんばつて下さい。",(일본어 그대로),120번째 승리를 목표로 힘내 주십시오.,120번째 승리를 목표로 힘내 주십시오.
2542,C2/SC0B6.DAT,0x47140,슬롯 부족 / 창 넘침,<G:90>鏡<G:89>を手にいれた。,(일본어 그대로),거울을 손에 넣었다.,거울을 손에 넣었다.
2543,C2/SC0B6.DAT,0x4717E,슬롯 부족 / 창 넘침,"120回目の勝利を目指して
がんばつて下さい。",120<9E><AC><1C><D5><DE89><2F><AC><DE71><1E><21> <2A><2D><58><29><21><70><3A><1B><37>,120번째 승리를 목표로 힘내 주십시오.,120번째 승리를 목표로 힘내 주십시오.
2544,C2/SC0B6.DAT,0x471D2,슬롯 부족 / 창 넘침,<G:90>サングラス<G:89>を手にいれた。,,선글라스를 손에 넣었다.,선글라스를 손에 넣었다.
2545,C2/SC0B6.DAT,0x47212,슬롯 부족 / 창 넘침,"120回目の勝利を目指して
がんばつて下さい。",(일본어 그대로),120번째 승리를 목표로 힘내 주십시오.,120번째 승리를 목표로 힘내 주십시오.
2547,C2/SC0B6.DAT,0x472B4,슬롯 부족 / 창 넘침,"120回目の勝利をきねんして
プレゼントがございます。
次の商品からお選び下さい。",(일본어 그대로),120회째 승리를 기려 선물이 있습니다. 다음 상품 중에서 고르십시오.,120회째 승리를 기려 선물이 있습니다. 다음 상품 중에서 고르십시오.
2548,C2/SC0B6.DAT,0x4731A,선택지(E5),"
<CTRL:E5:03><G:90>ディールの牙<G:89>",디일의 집,|디르의 어금니,|디르의 어금니
2549,C2/SC0B6.DAT,0x47360,슬롯 부족 / 창 넘침,<G:90>ディールの牙<G:89>を手にいれた。,(일본어 그대로),디르의 어금니를 손에 넣었다.,디르의 어금니를 손에 넣었다.
2550,C2/SC0B6.DAT,0x473A4,슬롯 부족 / 창 넘침,"160回目の勝利を目指して
がんばつて下さい。",(일본어 그대로),160번째 승리를 목표로 힘내 주십시오.,160번째 승리를 목표로 힘내 주십시오.
2552,C2/SC0B6.DAT,0x47446,슬롯 부족 / 창 넘침,"160回目の勝利をきねんして
プレゼントがございます。
次の商品からお選び下さい。",(일본어 그대로),160회째 승리를 기려 선물이 있습니다. 다음 상품 중에서 고르십시오.,160회째 승리를 기려 선물이 있습니다. 다음 상품 중에서 고르십시오.
2553,C2/SC0B6.DAT,0x474B2,선택지(E5),"<CTRL:E5:03><G:90>パワーリスト<G:89>
<CTRL:E5:03><G:90>ハイパーフーツ<G:89>
<CTRL:E5:03><G:90>いやしのお守り<G:89>
<CTRL:E5:03><G:90>貝がら<G:89>",파워 팔찌|바이퍼 신발|치유 부적 |조<E0C0>비,|파워 리스트|하이퍼 부츠|치유의 부적|조개껍데기,|파워 리스트|하이퍼 부츠|치유의 부적|조개껍데기
2554,C2/SC0B6.DAT,0x4752A,슬롯 부족 / 창 넘침,<G:90>パワーリスト<G:89>を手にいれた。,(일본어 그대로),파워 리스트를 손에 넣었다.,파워 리스트를 손에 넣었다.
2555,C2/SC0B6.DAT,0x4756C,슬롯 부족 / 창 넘침,"200回目の勝利を目指して
がんばつて下さい。",(일본어 그대로),200번째 승리를 목표로 힘내 주십시오.,200번째 승리를 목표로 힘내 주십시오.
2556,C2/SC0B6.DAT,0x475C0,슬롯 부족 / 창 넘침,<G:90>ハイパーフーツ<G:89>を手にいれた。,(일본어 그대로),하이퍼 부츠를 손에 넣었다.,하이퍼 부츠를 손에 넣었다.
2557,C2/SC0B6.DAT,0x47604,슬롯 부족 / 창 넘침,"200回目の勝利を目指して
がんばつて下さい。",(일본어 그대로),200번째 승리를 목표로 힘내 주십시오.,200번째 승리를 목표로 힘내 주십시오.
2558,C2/SC0B6.DAT,0x47658,슬롯 부족 / 창 넘침,<G:90>いやしのお守り<G:89>を手にいれた。,(일본어 그대로),치유의 부적을 손에 넣었다.,치유의 부적을 손에 넣었다.
2559,C2/SC0B6.DAT,0x4769C,슬롯 부족 / 창 넘침,"200回目の勝利を目指して
がんばつて下さい。",(일본어 그대로),200번째 승리를 목표로 힘내 주십시오.,200번째 승리를 목표로 힘내 주십시오.
2560,C2/SC0B6.DAT,0x476F0,슬롯 부족 / 창 넘침,<G:90>貝がら<G:89>を手にいれた。,(일본어 그대로),조개껍데기를 손에 넣었다.,조개껍데기를 손에 넣었다.
2561,C2/SC0B6.DAT,0x47730,슬롯 부족 / 창 넘침,"200回目の勝利を目指して
がんばつて下さい。",(일본어 그대로),200번째 승리를 목표로 힘내 주십시오.,200번째 승리를 목표로 힘내 주십시오.
2563,C2/SC0B6.DAT,0x477D2,슬롯 부족 / 창 넘침,"200回目の勝利をきねんして
プレゼントがございます。
次の商品からお選び下さい。",(일본어 그대로),200회째 승리를 기려 선물이 있습니다. 다음 상품 중에서 고르십시오.,200회째 승리를 기려 선물이 있습니다. 다음 상품 중에서 고르십시오.
2564,C2/SC0B6.DAT,0x47838,선택지(E5),"
<CTRL:E5:03><G:90>幻のこて<G:89>",신비갑,|환상의 건틀릿,|환상의 건틀릿
2565,C2/SC0B6.DAT,0x4787C,슬롯 부족 / 창 넘침,<G:90>幻のこて<G:89>を手にいれた。,(일본어 그대로),환상의 건틀릿을 손에 넣었다.,환상의 건틀릿을 손에 넣었다.
2566,C2/SC0B6.DAT,0x478BC,슬롯 부족 / 창 넘침,"1000回目の勝利を目指して
がんばつて下さい。",(일본어 그대로),1000번째 승리를 목표로 힘내 주십시오.,1000번째 승리를 목표로 힘내 주십시오.
2568,C2/SC0B6.DAT,0x47960,슬롯 부족 / 창 넘침,"1000回目の勝利をきねんして
プレゼントがございます。
次の商品からお選び下さい。",(일본어 그대로),1000회째 승리를 기려 선물이 있습니다. 다음 상품 중에서 고르십시오.,1000회째 승리를 기려 선물이 있습니다. 다음 상품 중에서 고르십시오.
2569,C2/SC0B6.DAT,0x479C6,선택지(E5),"
<CTRL:E5:03><G:90>闘技場の倉庫の中身<G:89>",투기장 보관소,|투기장 창고의 내용물,|투기장 창고의 내용물
2570,C2/SC0B6.DAT,0x47A12,슬롯 부족 / 창 넘침,<G:90>みなぎる果実<G:89>を手にいれた。,(일본어 그대로),넘치는 과실을 손에 넣었다.,넘치는 과실을 손에 넣었다.
2571,C2/SC0B6.DAT,0x47A5A,슬롯 부족 / 창 넘침,<G:90>大きい爆弾<G:89>を手にいれた。,(일본어 그대로),큰 폭탄을 손에 넣었다.,큰 폭탄을 손에 넣었다.
2572,C2/SC0B6.DAT,0x47AA0,슬롯 부족 / 창 넘침,<G:90>弱りの玉<G:89>を手にいれた。,(일본어 그대로),약화의 구슬을 손에 넣었다.,약화의 구슬을 손에 넣었다.
2573,C2/SC0B6.DAT,0x47AE6,슬롯 부족 / 창 넘침,<G:90>復活の薬<G:89>を手にいれた。,(일본어 그대로),부활의 약을 손에 넣었다.,부활의 약을 손에 넣었다.
2574,C2/SC0B6.DAT,0x47B2C,슬롯 부족 / 창 넘침,<G:90>ちからの実<G:89>を手にいれた。,(일본어 그대로),힘의 열매를 손에 넣었다.,힘의 열매를 손에 넣었다.
2575,C2/SC0B6.DAT,0x47B72,슬롯 부족 / 창 넘침,<G:90>パロの実<G:89>を手にいれた。,(일본어 그대로),파로의 열매를 손에 넣었다.,파로의 열매를 손에 넣었다.
2576,C2/SC0B6.DAT,0x47BB6,슬롯 부족 / 창 넘침,<G:90>いのちの木の実<G:89>を手にいれた。,(일본어 그대로),생명의 나무 열매를 손에 넣었다.,생명의 나무 열매를 손에 넣었다.
2577,C2/SC0B6.DAT,0x47BFE,슬롯 부족 / 창 넘침,<G:90>魔力の泉<G:89>を手にいれた。,(일본어 그대로),마력의 샘을 손에 넣었다.,마력의 샘을 손에 넣었다.
2578,C2/SC0B6.DAT,0x47C44,슬롯 부족 / 창 넘침,<G:90>氷の守り<G:89>を手にいれた。,(일본어 그대로),얼음의 수호를 손에 넣었다.,얼음의 수호를 손에 넣었다.
2579,C2/SC0B6.DAT,0x47C8A,슬롯 부족 / 창 넘침,<G:90>炎の守り<G:89>を手にいれた。,(일본어 그대로),불꽃의 수호를 손에 넣었다.,불꽃의 수호를 손에 넣었다.
2580,C2/SC0B6.DAT,0x47CCE,슬롯 부족 / 창 넘침,<G:90>魔法のカート<G:89>を手にいれた。,(일본어 그대로),마법의 카트를 손에 넣었다.,마법의 카트를 손에 넣었다.
2581,C2/SC0B6.DAT,0x47D16,슬롯 부족 / 창 넘침,<G:90>しつぷうのバンダナ<G:89>を手にいれた。,(일본어 그대로),질풍의 반다나를 손에 넣었다.,질풍의 반다나를 손에 넣었다.
